actual_rpps_number,old_rpps_number,rpps_cbw_uuid
200413000001910,200413000001008,bd664370-91a2-4d73-9f61-2941dbb1fe53
200413000001220,200413000001038,796def70-4e47-407b-a32b-6fae800feba8
200413000001260,200413000001028,88f65a49-5d6e-4e7b-8359-23ceeac1b3c3
200413000001584,200413000001014,31167854-7627-4b72-9dbf-5752bab54798
200413000001737,200413000001009,5c59b1e3-5a1b-4c9e-83da-b72ae704a43a
200413000001360,200413000001015,9d0f6c7d-6b57-44de-bb95-853293547d5e
200413000001686,200413000001012,1453695d-aa74-4451-9980-f2d4723a6658
200413000001328,200413000001031,65bbc621-3df7-4bd1-9afc-3caf86150d43
200413000001566,200413000001002,eb434050-a428-427e-9975-df6c26fcde7f
200413000001048,200413000001007,97a1bb09-9153-43f1-ad24-78694ddd7f40
200413000001318,200413000001024,0efed7be-99a0-4dad-9ddc-956997290ae0
200413000001202,200413000001027,6f4ff7f8-7c63-4bbe-9568-8cb1e35b2bd7
200413000001199,200413000001025,7f8fe5e4-f127-4b03-93aa-9e32a5a23c53
200413000001571,200413000001006,71346c77-eb60-486d-8d2a-fe527d85e861
200413000001790,200413000001005,3a7f736c-5146-4a69-bc44-3b26d43c3841
200413000001522,200413000001011,c9f6859d-1281-4f92-9690-8d5caa880023
200413000001788,200413000001004,7ed2e757-ba0f-402a-a605-4517724a0498
200413000001413,200413000001017,4c7fc0fe-89d6-43ec-a5e9-2566ba6cccd1
200413000001850,200413000001003,10fe80cf-75b4-4415-b5cf-27d3c24eaaae
200413000001195,200413000001023,6f69c002-5360-4ba2-8569-33db03cef551
200413000001834,200413000001034,5cc3e2e6-a69d-4990-aa26-85f7a2a0578a
200413000001437,200413000001032,9ae316e3-d88f-4cd8-a6f0-dbaf949d95ba
200413000001429,200413000001029,4d5ef3a1-2592-42d6-96b8-d26275ce210f
200413000001881,200413000001030,5b78e196-4a63-4086-b6d4-bca2f10b0f5d
200413000001838,200413000001037,46ad08e2-9832-4a5a-894a-e8117659b5bd
200413000001535,200413000001022,979df263-7119-45cd-9eda-abc7cb1e78ca
200413000001637,200413000001021,73e843f0-a76d-41da-9205-bc0d743b104a
